"","V1"
"639",4
"640",3
"641",1
"642",8
"643",7
"644",2
"645",1
"646",1
"647",5
"648",1
"649",3
"650",1
"651",7
"652",7
"653",7
"654",6
"655",1
"656",3
"657",9
"658",6
"659",7
"660",1
"661",7
"662",7
"663",7
"664",1
"665",1
"666",5
"667",1
"668",10
"669",2
"670",4
"671",8
"672",7
"673",1
"674",2
"675",2
"676",1
"677",1
"678",2
"679",2
"680",8
"681",9
"682",5
"683",7
"684",9
"685",9
"686",9
"687",9
"688",2
"689",8
"690",3
"691",2
"692",6
"693",6
"694",1
"695",1
"696",5
"697",1
"698",4
"699",2
"700",3
"701",3
"702",2
"703",2
"704",2
"705",8
"706",2
"707",2
"708",2
"709",2
"710",4
"711",4
"712",4
"713",4
"714",1
"715",3
"716",3
"717",3
"718",2
"719",2
"720",3
"721",3
"722",3
"723",2
"724",5
"725",4
"726",4
"727",6
"728",1
"729",2
"730",1
"731",8
"732",3
"733",5
"734",5
"735",7
"736",8
"737",3
"738",5
"739",5
"740",2
"741",2
"742",2
"743",4
"744",7
"745",5
"746",4
"747",2
"748",7
"749",9
"750",2
"751",6
"752",1
"753",1
"754",9
"755",1
"756",7
"757",7
"758",7
"759",4
"760",6
"761",10
"762",1
"763",8
"764",5
"765",7
"766",2
"767",2
"768",10
"769",1
"770",4
"771",5
"772",5
"773",5
"774",5
"775",5
"776",5
"777",1
"778",2
"779",1
"780",1
"781",1
"782",5
"783",6
"784",5
"785",3
"786",3
"787",5
"788",7
"789",6
"790",9
"791",9
"792",9
"793",2
"794",5
"795",9
"796",9
"797",9
